order_id,product_code,product_name,quantity,price,discount
1,PROD-070,Horizontal even-keeled budgetary management,3,51.79,0
1,PROD-030,Ergonomic multi-tasking encryption,3,90.31,0
1,PROD-140,Universal attitude-oriented Local Area Network,3,70.46,0.12
1,PROD-071,Profit-focused discrete projection,1,59.87,0
2,PROD-091,Open-source hybrid capacity,2,36.01,0
2,PROD-057,Future-proofed responsive database,2,133.96,0.22
2,PROD-107,Centralized hybrid synergy,3,65.39,0.11
2,PROD-041,Operative demand-driven groupware,2,76.78,0
2,PROD-159,Versatile even-keeled open system,2,32.47,0
3,PROD-009,Up-sized actuating portal,1,84.7,0
4,PROD-137,Re-engineered object-oriented neural-net,2,144.72,0
4,PROD-019,Adaptive zero-defect portal,2,14.72,0.04
4,PROD-023,Integrated mobile website,3,22.37,0
5,PROD-096,Customer-focused discrete analyzer,3,18.18,0
6,PROD-177,Front-line methodical attitude,2,109.94,0
6,PROD-055,Digitized systematic budgetary management,1,84.54,0
6,PROD-140,Universal attitude-oriented Local Area Network,1,108.07,0.04
7,PROD-080,Face-to-face tangible protocol,1,143.07,0
7,PROD-130,Multi-layered object-oriented functionalities,2,27.2,0
7,PROD-095,Progressive disintermediate standardization,3,36.42,0
7,PROD-004,Persistent human-resource software,2,133.73,0.25
7,PROD-028,Sharable scalable time-frame,2,45.15,0
8,PROD-134,Configurable solution-oriented capacity,3,127.39,0
8,PROD-128,Stand-alone even-keeled leverage,3,15.45,0
8,PROD-078,Vision-oriented directional standardization,1,131.98,0
8,PROD-112,Profound executive model,3,123.46,0
9,PROD-197,Seamless zero-defect analyzer,2,138.17,0.07
9,PROD-072,Devolved intangible superstructure,2,104.85,0
9,PROD-093,Networked clear-thinking Graphic Interface,3,89.96,0
9,PROD-099,Expanded national approach,1,146.92,0
9,PROD-050,User-centric actuating portal,1,77.94,0
10,PROD-199,Team-oriented grid-enabled success,3,25.07,0.01
10,PROD-156,Team-oriented dedicated approach,1,101.64,0
10,PROD-166,Multi-channeled disintermediate firmware,2,112.43,0
10,PROD-005,Optimized incremental middleware,1,59.66,0
11,PROD-188,Programmable local archive,3,80.5,0
11,PROD-163,Reduced client-driven matrix,3,104.9,0.21
12,PROD-160,Customer-focused executive protocol,1,40.38,0
